City,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
kismayo,-0.3582,42.5454,77.61,82,12,14.23,SO,1615166193
nakamura,32.9833,132.9333,52.14,82,100,1.79,JP,1615166194
amos,48.5669,-78.1162,1.4,60,20,2.15,CA,1615166194
rio grande,-32.035,-52.0986,71.01,86,0,9.64,BR,1615166194
dossor,47.5272,52.9811,27.1,86,0,9.57,KZ,1615166194
lebu,-37.6167,-73.65,58.84,90,49,13.76,CL,1615166194
gondanglegi,-7.7479,112.0132,80.1,78,14,5.44,ID,1615166194
punta arenas,-53.15,-70.9167,42.01,75,20,6.91,CL,1615165928
peniche,39.3558,-9.3811,53.01,71,100,8.99,PT,1615166195
tidore,,,,,,,,
tokur,53.1333,132.9,-2.04,92,100,6.2,RU,1615166195
georgetown,5.4112,100.3354,80.6,88,20,2.3,MY,1615165968
karkaralinsk,,,,,,,,
darnah,32.767,22.6367,58.71,81,0,9.31,LY,1615166195
marcona,,,,,,,,
gulshat,,,,,,,,
lexington,37.9887,-84.4777,42.8,26,1,2.3,US,1615165935
chotila,22.4167,71.1833,73.4,73,0,5.75,IN,1615166196
salalah,17.0151,54.0924,73.4,56,0,3.44,OM,1615166196
manzanillo,20.3433,-77.1167,74.5,77,4,7.49,CU,1615166196
zapolyarnyy,69.4154,30.8136,6.8,85,90,8.05,RU,1615166196
barentsburg,,,,,,,,
uyuni,-20.4597,-66.825,44.64,81,100,10.27,BO,1615166197
ateptsevo,55.3236,36.75,19.4,86,75,8.95,RU,1615166197
gimli,50.6336,-96.9907,39.2,81,100,9.22,CA,1615166018
port elizabeth,-33.918,25.5701,66.99,81,83,1.99,ZA,1615166197
samusu,,,,,,,,
cape town,-33.9258,18.4232,62.6,72,0,11.5,ZA,1615166197
lagoa,39.05,-27.9833,60.15,97,94,11.86,PT,1615166197
taolanaro,,,,,,,,
barra do garcas,-15.89,-52.2567,72.18,93,100,2.73,BR,1615166197
san quintin,30.4833,-115.95,58.17,73,100,13.04,MX,1615166197
sitka,57.0531,-135.33,46.4,53,75,8.05,US,1615166049
mataura,-46.1927,168.8643,52,90,100,5.01,NZ,1615166198
karpathos,35.507,27.2132,53.6,66,0,9.22,GR,1615166198
kwinana,-32.25,115.7667,77,68,100,14.97,AU,1615166112
severo-kurilsk,50.6789,156.125,16.72,92,100,28.9,RU,1615166198
kapaa,22.0752,-159.319,75.2,69,75,16.11,US,1615166198
takoradi,4.8845,-1.7554,79.68,88,10,8.61,GH,1615166198
te anau,-45.4167,167.7167,57.74,48,99,0.87,NZ,1615166198
mbeya,-8.9,33.45,60.04,91,100,0.94,TZ,1615166198
bethel,41.3712,-73.414,30,51,31,3,US,1615166198
bogovarovo,58.9785,47.0246,13.03,96,100,8.46,RU,1615166198
lavrentiya,65.5833,-171,32.36,97,100,33.13,RU,1615166198
east london,-33.0153,27.9116,68.47,79,29,4,ZA,1615166199
bihar,47.15,21.9167,28.4,74,0,6.91,RO,1615166199
saint george,37.1041,-113.5841,71.01,13,1,6.91,US,1615165980
warragul,-38.1667,145.9333,66,79,99,8.01,AU,1615166199
esperance,-33.8667,121.9,66.2,77,90,8.05,AU,1615166199
hobart,-42.8794,147.3294,70,59,75,10.36,AU,1615166199
dryden,49.7833,-92.7503,44.6,61,90,9.22,CA,1615166169
bermeo,43.4209,-2.7215,43,100,0,2.3,ES,1615166200
yagoua,10.3411,15.2329,73.67,19,0,7.58,CM,1615166200
sovetskiy,61.3614,63.5842,-8.5,92,92,1.59,RU,1615166200
college,64.8569,-147.8028,17.01,85,40,1.7,US,1615166200
gorontalo,0.5412,123.0595,83.82,67,100,2.19,ID,1615166200
sinnamary,5.3833,-52.95,77.86,87,55,13.42,GF,1615166200
bredasdorp,-34.5322,20.0403,60.8,82,100,4.61,ZA,1615166200
khatanga,71.9667,102.5,-29.83,85,96,4.09,RU,1615166200
kodiak,57.79,-152.4072,44.6,49,1,8.05,US,1615166201
karratha,-20.7377,116.8463,85.23,66,2,11.61,AU,1615166201
faanui,-16.4833,-151.75,82.44,78,100,18.3,PF,1615166201
okato,-39.2,173.8833,64,65,91,10,NZ,1615166201
bilozerka,46.6248,32.4425,34.3,88,90,12.46,UA,1615166202
chornobay,49.6708,32.3239,29.62,95,63,14.97,UA,1615166202
upernavik,72.7868,-56.1549,-18.74,81,0,13.11,GL,1615166202
zhigansk,66.7697,123.3711,-10.43,89,100,10.8,RU,1615166202
namibe,-15.1961,12.1522,76.62,79,71,5.03,AO,1615166202
aberdeen,57.1437,-2.0981,42.8,93,90,1.14,GB,1615166202
antalaha,-14.9003,50.2788,73.81,87,74,4.12,MG,1615166202
oceanside,33.1959,-117.3795,59,77,90,9.22,US,1615166070
puerto ayora,-0.7393,-90.3518,81,89,49,7,EC,1615166202
nizhneyansk,,,,,,,,
kloulklubed,7.0419,134.2556,78.8,94,90,5.75,PW,1615166202
barrow,71.2906,-156.7887,-9.4,70,90,20.71,US,1615166202
contamana,-7.3333,-75.0167,74.08,96,100,3.74,PE,1615166203
komsomolskiy,40.4272,71.7189,37.4,81,80,4.61,UZ,1615166203
verkhovazhye,60.7472,42.0465,9.82,95,100,10.22,RU,1615166203
verkhoyansk,67.5447,133.385,-15.5,80,95,2.68,RU,1615166040
san patricio,28.017,-97.5169,62.6,51,40,12.66,US,1615166203
mehamn,71.0357,27.8492,22.01,94,99,10.63,NO,1615166203
charters towers,-20.1,146.2667,83.05,50,0,15.64,AU,1615166203
saskylakh,71.9167,114.0833,-31.95,83,31,4.05,RU,1615166203
shitanjing,39.2342,106.3439,42.37,62,0,2.01,CN,1615166204
lata,40.1629,-8.3327,52,84,42,0.89,PT,1615166204
gilbues,-9.8317,-45.3439,74.89,83,100,2.73,BR,1615166204
krasnoselkup,65.7,82.4667,-10.7,90,98,5.28,RU,1615166204
koster,-25.863,26.8976,60.98,33,0,2.17,ZA,1615166204
qaanaaq,77.484,-69.3632,-13.2,63,0,7.87,GL,1615166205
yar-sale,66.8333,70.8333,-24.16,86,100,7.99,RU,1615166205
rio gallegos,-51.6226,-69.2181,46.4,46,20,16.11,AR,1615166205
pittsburg,38.028,-121.8847,64,45,1,5.75,US,1615166205
saint-philippe,-21.3585,55.7679,77,83,16,5.75,RE,1615166205
awjilah,29.1081,21.2869,58.6,39,0,3.89,LY,1615166205
korhogo,9.45,-5.6333,81.25,55,67,6.17,CI,1615166206
labuan,5.2767,115.2417,84.2,70,20,4.61,MY,1615166206
elat,29.5581,34.9482,58.32,60,0,9.78,IL,1615166206
talnakh,69.4865,88.3972,-12.01,89,100,4.16,RU,1615166206
parkes,-33.1333,148.1833,82,49,100,1.01,AU,1615166206
boralday,43.3578,76.8594,32,86,75,4.47,KZ,1615166207
kavaratti,10.5669,72.642,82.08,68,34,5.86,IN,1615166207
hamilton,39.1834,-84.5333,41,60,1,0.76,US,1615166207
lokosovo,61.1333,74.8167,8.91,96,100,8.5,RU,1615166207
constitucion,-35.3333,-72.4167,63.57,81,0,14.47,CL,1615166207
nantucket,41.2835,-70.0995,26.01,68,1,3.51,US,1615166019
kaitangata,-46.2817,169.8464,57,56,100,17,NZ,1615166208
chillan,-36.6066,-72.1034,73.4,56,71,6.91,CL,1615166140
avera,33.194,-82.5271,46.4,39,1,2.48,US,1615166208
saleaula,,,,,,,,
luderitz,-26.6481,15.1594,65.12,64,0,13.62,NA,1615166208
tasiilaq,65.6145,-37.6368,33.26,94,100,23,GL,1615166208
kutum,14.2,24.6667,59.22,23,0,9.13,SD,1615166209
urucui,-7.2294,-44.5561,76.12,89,74,1.57,BR,1615166209
ha giang,22.8333,104.9833,69.62,79,74,2.73,VN,1615166209
attawapiskat,,,,,,,,
tudela,42.0617,-1.6045,46.4,87,90,11.5,ES,1615166209
harnosand,62.6323,17.9379,25,63,0,6.91,SE,1615166209
yeppoon,-23.1333,150.7333,87.8,42,40,6.91,AU,1615166209
tanout,14.9709,8.8879,73.71,17,0,9.01,NE,1615166209
chuy,-33.6971,-53.4616,67.5,87,0,7.92,UY,1615166209
cidreira,-30.1811,-50.2056,73.35,74,2,10.8,BR,1615166210
kahului,20.8947,-156.47,80.6,54,40,21.85,US,1615166210
tabiauea,,,,,,,,
sulangan,11.1373,123.7228,81.09,75,100,13.89,PH,1615166210
great yarmouth,52.6083,1.7305,39.2,75,90,4.61,GB,1615166210
lompoc,34.6391,-120.4579,55.4,67,20,8.05,US,1615166210
vila franca do campo,37.7167,-25.4333,60.8,94,40,13.8,PT,1615166211
ola,59.5833,151.2833,-4.61,74,0,3.06,RU,1615166211
isangel,-19.55,169.2667,82.4,69,40,8.05,VU,1615166211
bandarbeyla,9.4942,50.8122,74.34,82,98,11.07,SO,1615166211
dicabisagan,17.0818,122.4157,79.99,62,2,7.18,PH,1615166211
sao filipe,14.8961,-24.4956,70.27,76,0,14.43,CV,1615166212
tual,-5.6667,132.75,83.05,76,62,12.24,ID,1615166212
half moon bay,37.4636,-122.4286,55.4,76,20,12.66,US,1615166212
dingle,10.9995,122.6711,82.18,70,57,13.18,PH,1615166212
kurumkan,54.3,110.3,25.27,92,90,9.22,RU,1615166212
husavik,66.0449,-17.3389,30.2,74,0,4.61,IS,1615166212
iqaluit,63.7506,-68.5145,-0.4,71,90,5.75,CA,1615166213
bronnoysund,65.4625,12.1997,32,80,90,6.91,NO,1615166213
victoria,22.2855,114.1577,66.99,84,67,18.34,HK,1615165972
floro,61.5996,5.0328,32,80,40,9.22,NO,1615166213
port blair,11.6667,92.75,80.98,74,0,8.7,IN,1615166213
hasaki,35.7333,140.8333,45,93,75,11.5,JP,1615166214
moree,-29.4667,149.85,86,48,75,17.27,AU,1615166214
arraias,-12.9288,-46.9437,70.47,89,56,0.54,BR,1615166214
bara,10.3744,10.7288,76.64,15,5,8.55,NG,1615166214
amderma,,,,,,,,
eloy,32.7559,-111.5548,84,9,1,4.61,US,1615166215
palabuhanratu,,,,,,,,
jalu,29.0331,21.5482,57.36,45,0,3.22,LY,1615166215
porto santo,33.072,-16.3415,59,94,75,4.61,PT,1615166215
harper,4.375,-7.7169,78.8,87,97,6.73,LR,1615166215
perth,-31.9333,115.8333,77,64,20,17.27,AU,1615165927
cozumel,20.5083,-86.9458,77,65,40,8.05,MX,1615166183
geraldton,-28.7667,114.6,89.6,37,0,20.71,AU,1615166215
atar,20.5169,-13.0499,64.51,30,0,9.44,MR,1615166188
cuenca,-2.8833,-78.9833,60.8,72,75,4.61,EC,1615166155
hofn,64.2539,-15.2082,37.96,75,100,8.52,IS,1615166216
the pas,53.8251,-101.2541,37.4,60,1,2.3,CA,1615166216
qafsah,,,,,,,,
leh,34.1667,77.5833,22.57,87,100,4.07,IN,1615166216
arbuzynka,47.9097,31.3196,29.35,89,61,7.65,UA,1615166216
torbay,47.6666,-52.7314,28,74,75,10.36,CA,1615166216
narsaq,60.9167,-46.05,32,74,75,13.8,GL,1615166216
tago,9.0211,126.2317,80.76,76,83,3.89,PH,1615166217
longyearbyen,78.2186,15.6401,10.4,52,20,9.22,SJ,1615166217
thompson,55.7435,-97.8558,35.6,60,1,3.44,CA,1615166217
vestmannaeyjar,63.4427,-20.2734,44.01,84,100,29.06,IS,1615166217
reconquista,-29.15,-59.65,71.06,40,0,4.52,AR,1615166217
duz,,,,,,,,
bosansko grahovo,44.1794,16.3639,27,53,55,7,BA,1615166218
vao,-22.6667,167.4833,75.56,76,33,16.42,NC,1615166218
novopskov,49.5464,39.0899,30.52,91,95,17.09,UA,1615166218
tigil,57.8,158.6667,-3.64,89,94,9.15,RU,1615166218
cap-aux-meules,47.3821,-61.8597,17.6,86,100,4.61,CA,1615166218
chokurdakh,70.6333,147.9167,-12.5,89,100,10.83,RU,1615166218
usinsk,65.9939,57.5281,-23.87,87,96,6.26,RU,1615166218
ponta do sol,32.6667,-17.1,57.99,74,75,1.01,PT,1615166218
hihifo,,,,,,,,
ban nahin,18.2418,104.2122,74.17,74,2,2.68,LA,1615166219
shingu,33.7333,135.9833,51.8,93,75,8.05,JP,1615166219
porto walter,-8.2686,-72.7439,73.69,91,74,2.04,BR,1615166219
kuhestan,,,,,,,,
nouadhibou,20.931,-17.0347,62.6,72,0,24.16,MR,1615166219
piacabucu,-10.4056,-36.4344,78.73,80,40,13.27,BR,1615166219
pemangkat,1.1667,108.9667,78.75,83,73,3.31,ID,1615166180
norman wells,65.282,-126.8329,-0.4,65,75,14.97,CA,1615166219
sulina,45.1559,29.6536,37,79,0,13.04,RO,1615166220
kenai,60.5544,-151.2583,30.2,46,1,6.91,US,1615166220
road town,18.4167,-64.6167,78.8,78,40,9.22,VG,1615166220
caravelas,-17.7125,-39.2481,78.46,84,100,6.78,BR,1615166220
campoverde,-8.4753,-74.8058,73.47,98,100,2.55,PE,1615166220
okhotsk,59.3833,143.3,-9.54,80,0,13.06,RU,1615166220
yerakion,37,22.7,52,87,24,3.44,GR,1615166221
saint anthony,45.0205,-93.218,55.4,66,1,5.75,US,1615166221
clarence town,-32.5833,151.7833,82.99,61,0,4.61,AU,1615166221
saint-francois,46.4154,3.9054,41,100,90,3.44,FR,1615166221
mount isa,-20.7333,139.5,89.6,45,0,14.97,AU,1615166221
general roca,-39.0333,-67.5833,77,38,0,11.5,AR,1615166222
coquimbo,-29.9533,-71.3436,62.6,88,90,4.61,CL,1615165996
biga,40.2281,27.2422,35.01,93,0,4.61,TR,1615166222
sanchazi,42.0817,126.6003,30.94,83,9,2.77,CN,1615166222
male,4.1748,73.5089,82.4,83,20,4.61,MV,1615166222
maceio,-9.6658,-35.7353,75.2,94,0,3.44,BR,1615166222
guerrero negro,27.9769,-114.0611,59.38,75,100,15.41,MX,1615166222
nara,34.6851,135.8049,51.01,81,75,3.44,JP,1615166222
ketchikan,55.3422,-131.6461,42.8,81,75,3.38,US,1615166222
arraial do cabo,-22.9661,-42.0278,75.34,84,100,3.22,BR,1615166222
goundam,16.4145,-3.6708,80.47,16,2,13.24,ML,1615166223
pevek,69.7008,170.3133,-14.01,88,100,20.69,RU,1615166223
wawa,9.9022,4.4192,81.88,26,0,5.66,NG,1615166223
ust-maya,60.4167,134.5333,-9.33,90,100,4.94,RU,1615166223
podgornoye,51.735,39.1496,28.4,93,90,6.71,RU,1615166223
senanga,-16.1167,23.2667,63.55,81,12,2.53,ZM,1615166224
bambous virieux,-20.3428,57.7575,78.01,94,75,8.05,MU,1615166224
ugoofaaru,5.6667,73,83.16,65,77,6.98,MV,1615166224
raga,8.4596,25.678,69.8,22,0,0.98,SS,1615166224
lorengau,-2.0226,147.2712,80.1,80,100,6.76,PG,1615166225
vardo,70.3705,31.1107,21.74,93,95,14.2,NO,1615166225
shalinskoye,55.7228,93.7594,5.86,89,27,5.32,RU,1615166225
pisco,-13.7,-76.2167,73.4,78,20,17.27,PE,1615166067
terrace,54.5163,-128.6035,37.4,75,75,4.61,CA,1615166225
celestun,20.8667,-90.4,73.04,65,0,15.61,MX,1615166225
leningradskiy,69.3833,178.4167,-11.31,88,100,5.5,RU,1615166225
lerwick,60.1545,-1.1494,41,75,90,17.27,GB,1615166226
yinchuan,38.4681,106.2731,45.25,59,67,4.25,CN,1615166226
kon tum,14.35,108,71.92,68,41,2.68,VN,1615166226
skovorodino,53.9833,123.9167,10.63,93,100,2.82,RU,1615166226
mosquera,4.7059,-74.2302,59,77,75,5.75,CO,1615166226
abu samrah,35.3029,37.1841,48.42,88,26,9.44,SY,1615166227
montes claros,-16.735,-43.8617,70.54,81,90,2.64,BR,1615166171
dillingen,49.35,6.7333,30.2,74,0,9.22,DE,1615166227
hendek,40.7994,30.7481,28.4,100,40,1.95,TR,1615166227
mayskiy,47.6931,40.1025,30.2,86,0,17.9,RU,1615166227
alamos,27.0167,-108.9333,71.01,56,78,1.01,MX,1615166228
kamenskoye,,,,,,,,
boda,4.3189,17.4695,70.93,59,100,4.45,CF,1615166228
faya,18.3851,42.4509,57.2,58,0,2.44,SA,1615166228
angoche,-16.2325,39.9086,76.37,88,98,7.81,MZ,1615166228
tessalit,20.1986,1.0114,76.32,18,85,8.75,ML,1615166228
batticaloa,7.7102,81.6924,79.27,83,63,2.44,LK,1615166228
puerto escondido,15.85,-97.0667,78.8,78,20,4.12,MX,1615166229
souillac,-20.5167,57.5167,77,94,75,8.05,MU,1615166229
serebryanyy bor,56.8,124.8,4.86,92,100,6.8,RU,1615166229
port-cartier,50.0334,-66.8654,23,63,0,8.05,CA,1615166229
tumannyy,,,,,,,,
alofi,-19.0595,-169.9187,80.6,89,75,11.5,NU,1615166229
stryn,61.9045,6.7226,28,90,96,5.64,NO,1615166229
kitui,-1.367,38.0106,64.31,95,81,4.97,KE,1615166229
cap malheureux,-19.9842,57.6142,78.01,85,97,1.99,MU,1615166230
kavieng,-2.5744,150.7967,82.76,77,100,11.72,PG,1615166230
ayorou,14.7308,0.9174,82.92,14,98,8.19,NE,1615166230
dhidhdhoo,6.8833,73.1,82.06,68,64,5.5,MV,1615166230
nikolskoye,59.7035,30.7861,21.2,73,90,13.42,RU,1615166230
san ignacio,17.1561,-89.0714,77,78,90,9.22,BZ,1615166230
sungaipenuh,-2.0833,101.3833,67.53,86,96,0.81,ID,1615166230
yurimaguas,-5.9,-76.0833,72.48,98,100,1.68,PE,1615166230
bojonegoro,-7.1502,111.8817,79.57,82,44,4.59,ID,1615166231
hovd,48.0056,91.6419,22.91,69,92,1.01,MN,1615166231
touros,-5.1989,-35.4608,77,88,20,2.3,BR,1615166231
santa ines,-3.6667,-45.38,74.44,97,100,3.29,BR,1615166232
corleone,37.8134,13.3017,55.99,87,34,4,IT,1615166232
talara,-4.5772,-81.2719,76.32,77,100,4.9,PE,1615166232
tsabong,-26.0217,22.401,75.16,37,19,8.59,BW,1615166232
carutapera,-1.195,-46.02,75.9,94,98,6.51,BR,1615166232
kangaatsiaq,68.3065,-53.4641,13.35,96,100,10.02,GL,1615166233
manaure,11.7751,-72.4445,80.02,75,54,19.13,CO,1615166170
bathsheba,13.2167,-59.5167,78.8,69,75,20.71,BB,1615166233
buala,-8.145,159.5921,83.44,75,100,6.44,SB,1615166233
lloro,5.4961,-76.5495,75.99,93,100,2.51,CO,1615166233
ngukurr,,,,,,,,
henties bay,-22.116,14.2845,62.01,91,14,1.99,NA,1615166233
igrim,63.1906,64.4162,-8.43,91,90,2.89,RU,1615166233
clyde river,70.4692,-68.5914,-22,76,1,2.3,CA,1615166233
mbandaka,0.0487,18.2603,72.7,91,100,6.46,CD,1615166233
terney,45.0503,136.6092,25.86,84,0,7.74,RU,1615166233
sosua,19.7667,-70.5167,77,94,75,2.55,DO,1615166234
sigli,5.3848,95.9609,79.43,75,86,4.7,ID,1615166234
luneburg,53.25,10.4,32,93,75,5.75,DE,1615166234
sao desiderio,-12.3633,-44.9733,73.49,78,7,1.05,BR,1615166234
saint-augustin,51.226,-58.6502,16.18,92,0,10,CA,1615166235
northam,51.0333,-4.2167,28.99,88,0,1.01,GB,1615166235
bengkulu,-3.8004,102.2655,77.59,78,100,6.38,ID,1615166235
quatre cocos,-20.2078,57.7625,78.01,94,75,8.05,MU,1615166235
ilo,-17.6394,-71.3375,72.64,82,79,5.48,PE,1615166235
berlevag,70.8578,29.0864,20.64,90,90,5.19,NO,1615166235
mentok,,,,,,,,
taikang,46.8333,124.4167,28.65,83,73,11.5,CN,1615166236
acapulco,16.8634,-99.8901,80.6,74,40,6.91,MX,1615165940
inverness,57.4791,-4.224,43,93,90,4.61,GB,1615166236
ahipara,-35.1667,173.1667,68.56,58,6,12.48,NZ,1615166236
fagersta,60.0042,15.7932,27,74,0,10.36,SE,1615166236
santa eulalia del rio,,,,,,,,
khandyga,62.6667,135.6,-17.81,83,89,3.22,RU,1615166236
yenagoa,4.9247,6.2642,79.25,90,61,5.12,NG,1615166237
ngaoundere,7.3167,13.5833,68.29,23,39,3.56,CM,1615166120
purpe,64.4803,76.6897,-3.59,93,100,6.33,RU,1615166237
lensk,60.7253,114.9278,17.67,95,100,8.39,RU,1615166237
south venice,27.0531,-82.4243,63,48,1,9.22,US,1615166237
alyangula,-13.8483,136.4192,87.8,74,40,8.05,AU,1615166237
saint-paul,-21.0096,55.2707,78.8,83,75,8.05,RE,1615166105
willmar,45.1219,-95.0433,54,62,1,3.44,US,1615166238
alta floresta,-9.8756,-56.0861,72.72,98,100,4.18,BR,1615166238
vanavara,60.34,102.2797,14.72,94,100,13.13,RU,1615166238
guozhen,34.3659,107.359,46.81,59,87,4.99,CN,1615166238
beringovskiy,63.05,179.3167,19.53,91,63,21.94,RU,1615166238
coihaique,-45.5752,-72.0662,50,46,20,10.36,CL,1615166239
anadyr,64.75,177.4833,-5.01,77,75,2.24,RU,1615166239
nyurba,63.2842,118.3319,14.72,96,100,1.48,RU,1615166239
atambua,-9.1061,124.8925,80.47,75,0,2.59,ID,1615166239
oussouye,12.485,-16.5469,73.4,73,0,2.3,SN,1615166239
jumla,29.2747,82.1838,43.99,60,99,6.33,NP,1615166104
bambanglipuro,-7.95,110.2833,81.03,71,46,3.91,ID,1615166239
shizunai,42.3339,142.3669,33.57,89,99,15.86,JP,1615166240
tsihombe,,,,,,,,
chicama,-7.8447,-79.1469,75.6,68,100,4.61,PE,1615166240
pauini,-7.7136,-66.9764,75.7,93,100,1.3,BR,1615166240
montepuez,-13.1256,38.9997,69.22,99,100,2.89,MZ,1615166240
basco,20.4487,121.9702,76.03,83,29,19.48,PH,1615166240
arys,42.4252,68.795,42.8,87,75,4.47,KZ,1615166241
mys shmidta,,,,,,,,
rocha,-34.4833,-54.3333,64.76,94,0,7.9,UY,1615166186
north little rock,34.7695,-92.2671,57,50,75,6.91,US,1615165994
san lorenzo,-25.3333,-57.5333,75.2,73,0,5.75,PY,1615166241
taltal,-25.4,-70.4833,66.38,77,0,4.92,CL,1615166241
haines junction,60.7522,-137.5108,26.6,43,100,6.91,CA,1615166242
eyl,7.9803,49.8164,71.96,86,22,12.33,SO,1615166242
farafangana,-22.8167,47.8333,74.08,85,48,6.96,MG,1615166242
mukhtolovo,55.4644,43.1953,13.64,97,100,6.93,RU,1615166242
beidao,34.5686,105.8933,47.53,67,66,3.02,CN,1615166242
boa vista,2.8197,-60.6733,77,78,0,5.75,BR,1615166242
kedrovyy,56.1667,91.8167,1.4,85,0,4.54,RU,1615166242
sesheke,-17.4759,24.2968,64.2,75,65,2.37,ZM,1615166243
omboue,-1.5746,9.2618,77.61,88,98,2.64,GA,1615166243
corrientes,-27.4806,-58.8341,78.8,50,0,9.22,AR,1615166243
hithadhoo,-0.6,73.0833,82.9,66,1,7.85,MV,1615166243
phrai bung,,,,,,,,
ambilobe,-13.2,49.05,73.78,96,100,2.73,MG,1615166243
danjiangkou,32.5428,111.5086,43.52,79,100,4.85,CN,1615166244
conceicao da barra,-18.5933,-39.7322,76.66,89,100,7.85,BR,1615166244
impfondo,1.6381,18.0667,74.98,77,100,4.99,CG,1615166244
tilichiki,60.4667,166.1,-16.13,82,63,15.88,RU,1615166244
ishigaki,24.3448,124.1572,71.6,83,75,13.8,JP,1615166244
petropavlovsk-kamchatskiy,53.0452,158.6483,12.2,40,0,15.66,RU,1615166031
namatanai,-3.6667,152.4333,81.3,78,100,8.7,PG,1615166244
beshpagir,45.0217,42.3808,19.4,73,0,8.95,RU,1615166244
derzhavinsk,51.1,66.3167,16.68,96,100,13.6,KZ,1615166244
comodoro rivadavia,-45.8667,-67.5,57.2,41,0,11.5,AR,1615166244
rabo de peixe,37.8,-25.5833,60.8,94,40,13.8,PT,1615166244
mafinga,-7.25,35.0667,65.62,100,100,2.17,TZ,1615166245
staroutkinsk,57.2302,59.3348,-3.8,92,97,4.18,RU,1615166245
igarka,67.4667,86.5833,-19.82,87,85,4.16,RU,1615166245
santa marta,11.2408,-74.199,82.99,74,99,17.27,CO,1615166245
